Symbol,Security,Sector,Sub-Industry,Date first added
SHIB,SHIBUSDT,Cryptocurrency,Digital Asset,2024-09-01
ICP,ICPUSDT,Cryptocurrency,Digital Asset,2024-09-01
AR,ARUSDT,Cryptocurrency,Digital Asset,2024-09-01
POLS,POLSUSDT,Cryptocurrency,Digital Asset,2024-07-01
MDX,MDXUSDT,Cryptocurrency,Digital Asset,2024-07-01
MASK,MASKUSDT,Cryptocurrency,Digital Asset,2024-09-01
LPT,LPTUSDT,Cryptocurrency,Digital Asset,2024-09-01
NU,NUUSDT,Cryptocurrency,Digital Asset,2022-02-01
XVG,XVGUSDT,Cryptocurrency,Digital Asset,2024-09-01
ATA,ATAUSDT,Cryptocurrency,Digital Asset,2024-09-01
GTC,GTCUSDT,Cryptocurrency,Digital Asset,2024-09-01
TORN,TORNUSDT,Cryptocurrency,Digital Asset,2022-12-01
KEEP,KEEPUSDT,Cryptocurrency,Digital Asset,2022-02-01
ERN,ERNUSDT,Cryptocurrency,Digital Asset,2024-09-01
KLAY,KLAYUSDT,Cryptocurrency,Digital Asset,2024-09-01
PHA,PHAUSDT,Cryptocurrency,Digital Asset,2024-09-01
BOND,BONDUSDT,Cryptocurrency,Digital Asset,2024-07-01
MLN,MLNUSDT,Cryptocurrency,Digital Asset,2024-09-01
DEXE,DEXEUSDT,Cryptocurrency,Digital Asset,2024-09-01
C98,C98USDT,Cryptocurrency,Digital Asset,2024-09-01
CLV,CLVUSDT,Cryptocurrency,Digital Asset,2024-09-01
QNT,QNTUSDT,Cryptocurrency,Digital Asset,2024-09-01
FLOW,FLOWUSDT,Cryptocurrency,Digital Asset,2024-09-01
TVK,TVKUSDT,Cryptocurrency,Digital Asset,2023-11-01
MINA,MINAUSDT,Cryptocurrency,Digital Asset,2024-09-01
RAY,RAYUSDT,Cryptocurrency,Digital Asset,2024-09-01
FARM,FARMUSDT,Cryptocurrency,Digital Asset,2024-09-01
ALPACA,ALPACAUSDT,Cryptocurrency,Digital Asset,2024-09-01
QUICK,QUICKUSDT,Cryptocurrency,Digital Asset,2024-09-01
MBOX,MBOXUSDT,Cryptocurrency,Digital Asset,2024-09-01
FOR,FORUSDT,Cryptocurrency,Digital Asset,2024-08-01
REQ,REQUSDT,Cryptocurrency,Digital Asset,2024-09-01
GHST,GHSTUSDT,Cryptocurrency,Digital Asset,2024-09-01
WAXP,WAXPUSDT,Cryptocurrency,Digital Asset,2024-09-01
TRIBE,TRIBEUSDT,Cryptocurrency,Digital Asset,2022-11-01
GNO,GNOUSDT,Cryptocurrency,Digital Asset,2024-09-01
XEC,XECUSDT,Cryptocurrency,Digital Asset,2024-09-01
ELF,ELFUSDT,Cryptocurrency,Digital Asset,2024-09-01
DYDX,DYDXUSDT,Cryptocurrency,Digital Asset,2024-09-01
POLY,POLYUSDT,Cryptocurrency,Digital Asset,2022-10-01
IDEX,IDEXUSDT,Cryptocurrency,Digital Asset,2024-09-01
VIDT,VIDTUSDT,Cryptocurrency,Digital Asset,2024-09-01
USDP,USDPUSDT,Cryptocurrency,Digital Asset,2024-09-01
GALA,GALAUSDT,Cryptocurrency,Digital Asset,2024-09-01
ILV,ILVUSDT,Cryptocurrency,Digital Asset,2024-09-01
YGG,YGGUSDT,Cryptocurrency,Digital Asset,2024-09-01
SYS,SYSUSDT,Cryptocurrency,Digital Asset,2024-09-01
DF,DFUSDT,Cryptocurrency,Digital Asset,2024-09-01
FIDA,FIDAUSDT,Cryptocurrency,Digital Asset,2024-09-01
FRONT,FRONTUSDT,Cryptocurrency,Digital Asset,2024-08-01
CVP,CVPUSDT,Cryptocurrency,Digital Asset,2024-08-01
AGLD,AGLDUSDT,Cryptocurrency,Digital Asset,2024-09-01
RAD,RADUSDT,Cryptocurrency,Digital Asset,2024-09-01
BETA,BETAUSDT,Cryptocurrency,Digital Asset,2024-09-01
RARE,RAREUSDT,Cryptocurrency,Digital Asset,2024-09-01
LAZIO,LAZIOUSDT,Cryptocurrency,Digital Asset,2024-09-01
CHESS,CHESSUSDT,Cryptocurrency,Digital Asset,2024-09-01
ADX,ADXUSDT,Cryptocurrency,Digital Asset,2024-09-01
AUCTION,AUCTIONUSDT,Cryptocurrency,Digital Asset,2024-09-01
DAR,DARUSDT,Cryptocurrency,Digital Asset,2024-09-01
BNX,BNXUSDT,Cryptocurrency,Digital Asset,2024-09-01
RGT,RGTUSDT,Cryptocurrency,Digital Asset,2022-03-01
MOVR,MOVRUSDT,Cryptocurrency,Digital Asset,2024-09-01
CITY,CITYUSDT,Cryptocurrency,Digital Asset,2024-09-01
ENS,ENSUSDT,Cryptocurrency,Digital Asset,2024-09-01
KP3R,KP3RUSDT,Cryptocurrency,Digital Asset,2024-09-01
QI,QIUSDT,Cryptocurrency,Digital Asset,2024-09-01
PORTO,PORTOUSDT,Cryptocurrency,Digital Asset,2024-09-01
POWR,POWRUSDT,Cryptocurrency,Digital Asset,2024-09-01
VGX,VGXUSDT,Cryptocurrency,Digital Asset,2024-08-01
JASMY,JASMYUSDT,Cryptocurrency,Digital Asset,2024-09-01
AMP,AMPUSDT,Cryptocurrency,Digital Asset,2024-09-01
PLA,PLAUSDT,Cryptocurrency,Digital Asset,2024-02-01
PYR,PYRUSDT,Cryptocurrency,Digital Asset,2024-09-01
RNDR,RNDRUSDT,Cryptocurrency,Digital Asset,2024-07-01
ALCX,ALCXUSDT,Cryptocurrency,Digital Asset,2024-09-01
SANTOS,SANTOSUSDT,Cryptocurrency,Digital Asset,2024-09-01
MC,MCUSDT,Cryptocurrency,Digital Asset,2023-11-01
ANY,ANYUSDT,Cryptocurrency,Digital Asset,2022-03-01
BICO,BICOUSDT,Cryptocurrency,Digital Asset,2024-09-01
FLUX,FLUXUSDT,Cryptocurrency,Digital Asset,2024-09-01
FXS,FXSUSDT,Cryptocurrency,Digital Asset,2024-09-01
VOXEL,VOXELUSDT,Cryptocurrency,Digital Asset,2024-09-01
HIGH,HIGHUSDT,Cryptocurrency,Digital Asset,2024-09-01
CVX,CVXUSDT,Cryptocurrency,Digital Asset,2024-09-01
PEOPLE,PEOPLEUSDT,Cryptocurrency,Digital Asset,2024-09-01
OOKI,OOKIUSDT,Cryptocurrency,Digital Asset,2024-09-01
SPELL,SPELLUSDT,Cryptocurrency,Digital Asset,2024-09-01
UST,USTUSDT,Cryptocurrency,Digital Asset,2022-05-01
JOE,JOEUSDT,Cryptocurrency,Digital Asset,2024-09-01
ACH,ACHUSDT,Cryptocurrency,Digital Asset,2024-09-01
IMX,IMXUSDT,Cryptocurrency,Digital Asset,2024-09-01
GLMR,GLMRUSDT,Cryptocurrency,Digital Asset,2024-09-01
LOKA,LOKAUSDT,Cryptocurrency,Digital Asset,2024-09-01
SCRT,SCRTUSDT,Cryptocurrency,Digital Asset,2024-09-01
