Symbol,Security,Sector,Sub-Industry,Date first added
LEVER,LEVERUSDT,Cryptocurrency,Digital Asset,2024-09-01
VEGA,VEGAUSDT,Cryptocurrency,Digital Asset,2024-09-01
ZTX,ZTXUSDT,Cryptocurrency,Digital Asset,2024-09-01
JEFF,JEFFUSDT,Cryptocurrency,Digital Asset,2024-09-01
PPT,PPTUSDT,Cryptocurrency,Digital Asset,2024-09-01
TUSD,TUSDUSDT,Cryptocurrency,Digital Asset,2024-09-01
BEAM,BEAMUSDT,Cryptocurrency,Digital Asset,2023-01-01
POL,POLUSDT,Cryptocurrency,Digital Asset,2024-09-01
TIA,TIAUSDT,Cryptocurrency,Digital Asset,2024-09-01
TOKEN,TOKENUSDT,Cryptocurrency,Digital Asset,2024-09-01
MEME,MEMEUSDT,Cryptocurrency,Digital Asset,2024-09-01
SHRAP,SHRAPUSDT,Cryptocurrency,Digital Asset,2024-09-01
RPK,RPKUSDT,Cryptocurrency,Digital Asset,2024-09-01
FLIP,FLIPUSDT,Cryptocurrency,Digital Asset,2024-09-01
CRDS,CRDSUSDT,Cryptocurrency,Digital Asset,2024-09-01
VRTX,VRTXUSDT,Cryptocurrency,Digital Asset,2024-09-01
ROOT,ROOTUSDT,Cryptocurrency,Digital Asset,2024-09-01
PYTH,PYTHUSDT,Cryptocurrency,Digital Asset,2024-09-01
MLK,MLKUSDT,Cryptocurrency,Digital Asset,2024-09-01
KUB,KUBUSDT,Cryptocurrency,Digital Asset,2024-09-01
5IRE,5IREUSDT,Cryptocurrency,Digital Asset,2024-09-01
KCS,KCSUSDT,Cryptocurrency,Digital Asset,2024-09-01
VANRY,VANRYUSDT,Cryptocurrency,Digital Asset,2024-09-01
INSP,INSPUSDT,Cryptocurrency,Digital Asset,2024-09-01
JTO,JTOUSDT,Cryptocurrency,Digital Asset,2024-09-01
METH,METHUSDT,Cryptocurrency,Digital Asset,2024-09-01
CBK,CBKUSDT,Cryptocurrency,Digital Asset,2024-09-01
ZIG,ZIGUSDT,Cryptocurrency,Digital Asset,2024-09-01
VPR,VPRUSDT,Cryptocurrency,Digital Asset,2024-09-01
TRC,TRCUSDT,Cryptocurrency,Digital Asset,2024-09-01
FMC,FMCUSDT,Cryptocurrency,Digital Asset,2024-09-01
MYRIA,MYRIAUSDT,Cryptocurrency,Digital Asset,2024-09-01
AKI,AKIUSDT,Cryptocurrency,Digital Asset,2024-09-01
MBOX,MBOXUSDT,Cryptocurrency,Digital Asset,2024-09-01
IRL,IRLUSDT,Cryptocurrency,Digital Asset,2024-09-01
ARTY,ARTYUSDT,Cryptocurrency,Digital Asset,2024-09-01
GRAPE,GRAPEUSDT,Cryptocurrency,Digital Asset,2024-09-01
COQ,COQUSDT,Cryptocurrency,Digital Asset,2024-09-01
AIOZ,AIOZUSDT,Cryptocurrency,Digital Asset,2024-09-01
